project_key,project_code,project_name,project_start_date,project_end_date,type_of_project,project_status,reporter_employee_id,approver_employee_id,client_id,tech_coe,proposition_coe,is_active_version,date_source,extended_end_date,extended_end_status,cluster_number
affff1b06d7bb8b6fbc0d0ebb5b3c444f8185e1bf1ef17464a78ed81c53e7f88,DNS_008,IK Partners - Dains - Phase 5a - Acquisition Integrations & Azure Migration,2025-06-02,2025-10-17,Client Project,COMPLETE,JMG97,JMD195,5553337B-330A-4E7B-AAB2-97AF6889EF91,BI and Reporting;Data Engineering,Core Reporting,1,given,2026-07-10,,5.0
aec9ba73fb5315c3ee475f1941ba64e6494e81d389972a2157820688d79ddcce,LWF_002,Blixt - Lawfront - Exit Cube & Tool,2025-08-18,2025-11-14,Client Project,COMPLETE,JMG141,JMD82,C05AD92C-C140-4C13-B40D-9BB219B0F157,Data Engineering;BI and Reporting,Exit Support,1,given,,,4.0
e58b67565db14c94d6741152397c8a7572bc55360e16c1ddab7308fd36f533ed,FIR_013,Guna Int - FireTree - Cloud Migration (Phase 2),2023-09-01,2023-11-30,Client Project,COMPLETE,JMD28,JMD28,A13DC602-1FC1-4D39-B2AF-D0F1E4D8767C,,,1,given,,,2.0
f63e9dbae294ab0d32d079d00953d24eb71c2c0e68818d8e040be36da0da7f35,THO_003,THORtal-Vincere Integration,2020-12-28,2021-05-28,Client Project,COMPLETE,JMD160,JML56,C396D527-0F25-41D6-87CC-015440EAD08C,,,1,given,,,2.0
caab7854543daa7beb2f23392a750af816dbad77c2c52365fb4ea46eb97ca359,KRO_001,Stone Point - Kroll Lucid,2026-03-09,2026-05-18,Client Project,COMPLETE,JMG107,JMD84,2DC9E3BC-BE8A-4246-902C-3B82395E6B39,BI and Reporting,Exit Support,1,given,2026-06-30,,2.0
d77400a2ce8ab3be09b8a80380627ae41350d07375d1764790b50cbf31249feb,CSD_008,FPF - Clearstead - Seattle Integration,2026-04-13,2026-04-20,Client Project,PROPOSE,JMG128,JMG128,A7055242-6D88-4386-A79A-740298F495CE,Data Engineering;BI and Reporting,Core Reporting,1,given,,,4.0
31f5cb188232f09accaea1f847c7ee4fbdb490719bcbb3739846390a50849b8f,JMG_169,JMAN Group - GenAI POC,2023-07-10,2023-07-28,Client Project,COMPLETE,JMG81,JMD27,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,,,1,given,,,
383af8880ac104d7b9948d1dc0a20eb1df7e217988b6b461fd96e3ab7a493314,PGY_003,Further Global - Progeny - Operational Efficiency Scoping,2025-09-15,2025-10-10,Client Project,COMPLETE,JMG313,JMG149,CFCC2EAC-35D0-4D1F-A9E0-786B81AA4312,Consulting,Value Creation,1,given,,,4.0
596c39d2a5e6e626cd09b5fd9db8de9430ce2305333791dce6e56c73175a5a6e,NEG_008,Synova - NEG - Reporting,2023-11-27,2023-12-22,Client Project,COMPLETE,JMG22,JMG22,CC0B7B33-C73A-417A-AAC9-219778FC86B8,,Core Reporting,1,given,,,2.0
bfa7b74e6addd831197db6ff2500616a05bf4c125c803da7dcff66d3ad23b6ff,CNC_025,Cinch - Mobile App Build Q4 2024 (NJ) (EXT),2024-09-01,2024-12-31,Managed Services,COMPLETE,JMD129,JMD157,E6ED099A-E034-473D-A237-92B0C8A6EADF,Full Stack Engineering,Managed Services,1,given,,,4.0
c1e6f7de04d470e9ae720abb7934afcb5472d7f6ba5b80e49280470dcb6389c4,ALM_010,Apax - Alcumus - Migration & Data Modelling,2025-12-08,2026-01-12,Client Project,COMPLETE,JMG117,JMD112,7F3D6169-7593-427C-AEB3-F0F6C253DA67,Data Science & ML,Value Creation,1,given,,,4.0
b61b1d894a1a5c66d4f4321cd428a2b37e686d2cceb5c37ab791d6547c54a3e9,CLN_008,BAU Data Team Support,2022-02-16,2022-09-30,Client Project,COMPLETE,JMG24,JMD118,CBE4E752-7D89-485F-8768-BE5DBF9C1F6C,,,1,given,,,4.0
7c20f3e32152bff6db934822d75da7c9f1dc3fea06d971e54f43c20142da2f87,RWB_001,Baird GIB - Structured Cabling Co Exit Cube,2026-07-20,2026-08-17,Client Project,PROPOSE,JMG124,JMG124,5B8D7E8C-AA98-43CB-8CAC-654D87734E08,Consulting,Exit Support,1,given,2026-08-26,,1.0
63fff936aacf7ffb162cb8993ba1f011e6e3633627eadbd5f92340505557c85a,MCL_012,MyConsoleImpact,2020-11-30,2021-01-29,Client Project,COMPLETE,JMD160,JML56,637B410A-A9BA-45E3-A0AC-45FE639485EA,,,1,given,,,4.0
9c193e5275043f97b2a5d6cf91981c48215cd583a3818e8ef5d5c722e9d3ba8b,PFG_004,In-house MI Support,2022-10-03,2023-01-01,Client Project,COMPLETE,JMG52,JMG52,7FD76730-2ADC-4C30-BA25-06459E759DB6,,,1,given,,,2.0
a21164235ea35253e609e3d574fa43a45284998e4ccf907a18919e7622502815,GLS_007,Levine Leichtman Capital Partners - GLAS - Managed Service (NJ / SS / KO),2024-09-12,2024-12-29,Managed Services,COMPLETE,JMD41,JMD41,16BA707B-C0A5-43B3-8F7F-4D0E13213915,Data Engineering,Core Reporting,1,given,,,4.0
5636e432ab320d63f28e1fa1fa88933140a3ccea8d0bd8fc38af6a5ff0ca305e,VRF_002,Apax - Veriforce - Additional Pricing Prompts,2026-07-20,2026-08-17,Client Project,DEAL WON,JMG117,JMD112,3DEF32B2-B27F-4D9E-A013-7F35FB1F0D1F,Data Science & ML,Value Creation,1,given,,,2.0
535f04c3c9c9358bac9c6084796de944511974e3345b39c2b4df1b721cd93d45,AND_004,Andwis - Data Platform Build Phase 2,2026-06-22,2026-08-17,Client Project,SOW PENDING SIGNATURE,JMG133,JMD157,7CE95475-03A9-4164-AF73-DE5D18D5FB39,BI and Reporting,Core Reporting,1,given,2026-09-25,,3.0
3c3af88bb7401446d7dbf85ac3bdc71f2eb1e12487cf503bd7a02179ecebc540,SOV_018,Sovos DBT Maintenance & Development (APR 2026 - JUN 2026),2026-04-01,2026-06-24,Managed Services,COMPLETE,JMD135,JMD205,F984AAE7-6BC9-4D69-8125-763CEE1196B5,TechOps and Automation,Managed Service,1,given,,,1.0
55c1da5ed4a732519b90fa425642301cc08ff7abb966e5f35abad80fcdc38c2f,JMG_164,The Way We Do It,2023-01-16,2023-09-30,Internal Project,COMPLETE,JMG76,JMD21,3A4B9733-496E-4579-9FCB-892E2A96B228,,,1,given,,,
51c9d0c2cdf543e8f43124f0b1931b5aa2bcf959583dae1164a651efc8b77550,BOT_001,Bootstrappers - Extension,2023-03-01,2023-12-31,Client Project,COMPLETE,JMD8,JMD65,B705808C-497C-467B-A9A3-AA2C7044FEE4,,,1,given,,,2.0
f94c331d6aedba74cdcd6b53c12b4b76147935e7a59bfcb8374ea266f0fa34e3,VNQ_001,Capital D - VONQ - Exit D&D (Phase 1) (PG/VC),2026-06-29,2026-07-27,Client Project,SOW PENDING SIGNATURE,JMG391,JMD77,437A2A3E-F1F6-493A-A265-8135BE5E8125,Consulting;Data Engineering;BI and Reporting,Exit Support,1,given,,,1.0
77d09d6bb1f88a66e87b389fe270bf35fd04ab963ce81befc8f70e73d2cc31cb,FIR_023,Firetree-Maintenance-Q4,2024-10-01,2024-12-30,Managed Services,COMPLETE,JMD28,JMD137,A13DC602-1FC1-4D39-B2AF-D0F1E4D8767C,Full Stack Engineering,Managed Services,1,given,,,2.0
87d9fd09473f541aa83b2734c8ccff34120e6c73c12ca413cbc0b07370b27657,LCL_001,Aurelius - Lloyds Clinical - Productionisation of Insight Engine,2025-04-07,2025-06-20,Client Project,COMPLETE,JMG133,JMD372,C944160A-797A-44F6-8740-95C8BC518E0C,Data Science & ML,Value Creation,1,given,,,1.0
454686b66fd3723137b3df75b910cad8fdeb5267cb6fe9cb07d573cfc012e71d,RGS_011,RegScan Go-Live Support,2021-10-01,2021-10-31,Client Project,COMPLETE,JMD160,JML56,6C7618D4-6109-4EA4-A227-1B8CEBE1D585,,,1,given,,,
e1404c4e8317a19e68be13f1ae50a477070df0def4374b1f448cb17c7abdef70,SOV_003,Snowball and Data Warehouse Build,2021-03-23,2021-11-30,Client Project,COMPLETE,JMG24,JMD41,F984AAE7-6BC9-4D69-8125-763CEE1196B5,,,1,given,,,1.0
eae5c2b2d25543deb3d03acba7a47ba47b22587b1a096ec63302956d7cdb13ea,VPS_005,PAI - VPS Group - Revenue Cube Refreshes,2024-10-21,2024-11-10,Client Project,COMPLETE,JMG90,JMD77,4DDC6D71-D260-4489-9659-30FB4A52DBAA,Data Engineering,Exit Support,1,given,,,2.0
b105078037cf721e5fe10f99b3a4e380033a37eeba6441c45de38ea3fa2ddbbc,KSY_007,Insight - Kaseya - Data Products Pod 2 (RevOps),2026-04-20,2026-08-10,Client Project,ACTIVE,JMG312,JMG86,2B0A8598-3C73-4209-A636-E544FFBCF854,Data Engineering;BI and Reporting,Core Reporting,1,given,2026-10-09,,3.0
cc35ccb0e4b208d04464c2b4646f6743a9e2927c752addf61b37fb3df821d184,JUN_001,Horizon - Juniper - Pipeline Setup (PG/AMR),2025-08-25,2025-10-13,Client Project,COMPLETE,JMG354,JMD376,4303257C-6326-4935-9CED-F552ABE44D51,Data Engineering,Managed Services,1,given,,,4.0
2e3e27334eeed86aaba5490356311d553f02f0ea2a4ca80ec2f2482581301d71,GLS_016,Levine Leichtman - GLAS - Revenue Reconciliation and NetSuite Integration,2025-09-22,2026-03-13,Client Project,COMPLETE,JMG156,JMD158,16BA707B-C0A5-43B3-8F7F-4D0E13213915,Data Engineering;Consulting,Core Reporting,1,given,2026-04-24,,4.0
8eb13eceece9328e22c2f8a9720e1669006da45dbccad82f7833685fc48e7a31,SEG_003,SEGRO Data Capabilities Assessment,2019-10-03,2019-12-31,Client Project,COMPLETE,JML-024,JML-024,2A8783B2-5AE0-4378-B753-DA2CAA7DCE88,,,1,given,,,
34c7abb5cf7fed4a25c1da1b88821aa75ee04a96cd89554e5e2a2779f5499ae7,GET_006,ISG,2019-10-01,2020-10-01,Client Project,COMPLETE,JML-005,JML-005,FE147121-9446-4FD9-B905-0EB291701893,,,1,given,,,
66b95df3ff99fd4f439ef5efdb86ba02b342364dae56ee306f9baf110119b47d,IDN_003,Corsair - IDnow - Salesforce ingestion and order to transaction mapping refinement,2026-01-05,2026-02-02,Client Project,COMPLETE,JMG302,JMD37,4C08A09D-266B-4BF5-983D-DA8A90F88E02,Data Engineering,Value Creation,1,given,2026-03-21,,1.0
209d9d28729ffe54cfe8c55e7cbb30f6d6fe964cc196bec1c526c5af32638a63,STL_002,Graphite Capital - Storal Nurseries - Phase 2,2025-09-08,2025-12-07,Client Project,COMPLETE,JMG141,JMD19,3A3351E8-AE6C-4014-A48A-4AC408DA183E,BI and Reporting;Data Engineering;Consulting,Exit Support,1,given,,,2.0
60ff15f5ea7a36a2f5592e6e38a143af22e5f490a906bf93a25430eb26a4c94c,GFP_005,Knox Lane - Guardian - Timesheet Validation Reporting & Operational Reports,2025-05-12,2025-06-22,Client Project,CLOSED,JMG114,JMG114,18BEADF3-4092-4A91-B73F-154A649BC563,Data Engineering;BI and Reporting,Core Reporting,1,given,,,3.0
b369a48de757b5beb8153f05ee57e5ce324e7ec78fe4f3d9cbb1962180ad3a2a,DAL_001,Dalcour Maclaren - Data strategy,2024-11-13,2025-01-08,Client Project,CLOSED,JMG90,JMD8,9205BDF6-A56F-4E0E-ACCE-55D752B7061F,Consulting,Data Advisory,1,given,,,2.0
2e6452f32180043d75e89a4c6d1d957c7d6309a274c4f95657cd7a20886caa9b,HGC_037,Reserved DD Support,2022-06-01,2022-06-01,Client Project,COMPLETE,JML56,JML56,EE649EF4-C803-4F9C-A7AA-110D5BBB256E,,,1,given,,,1.0
ae54bfda8020d7939403e2d36781753d340079d100dab034c4b27d72159f9e25,CLN_018,Greenstone 2,2022-12-01,2023-04-30,Client Project,COMPLETE,JMG51,JMG51,CBE4E752-7D89-485F-8768-BE5DBF9C1F6C,,,1,given,,,4.0
fe4920449ba964c4f7eb031995e39fb3fbcda1270e678723628f116480195019,SOV_013,Hg Capital - Sovos - DBT Migration,2024-10-21,2024-12-29,Client Project,COMPLETE,JMD135,JMD135,F984AAE7-6BC9-4D69-8125-763CEE1196B5,Data Engineering,Core Reporting,1,given,,,1.0
a4114b1d8374015d93bf1131d09489a9355c1a41afdb3d3658dbd3fd944bd48e,NEU_002,Permira - Neuraxpharm - Productionisation Demand Forecasting Model (Phase 3),2024-08-23,2024-10-08,Client Project,COMPLETE,JMG122,JMD27,FCD4E105-C01A-4C15-959E-5D7D3DB59FB2,Analytical Engineering;Data Engineering,Value Creation,1,given,,,1.0
a9592e93660a6ed8a98f5dcb158a5cf2981006321ee5f5a5cb755f8051163284,WDC_012,Quoting Engine,2022-08-01,2022-12-09,Client Project,COMPLETE,JMG52,JMG52,BA9A80E3-DFA1-45D1-8440-5955274FEA1A,,,1,given,,,1.0
a298cf4936ccd36556c5d59d22c63c67f2a8a5eb47f6ced3972bf754de6f7d7f,JMG_173,JMAN Group - IG Portal,2023-08-28,2023-12-29,Client Project,COMPLETE,JMD41,JMD96,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,,,1,given,,,
68b97c9ee4849c8389395e475819344c82bac47df121f3640a25331b3120d4ff,WIT_010,Operational Support & Roll Down,2023-07-31,2023-12-31,Client Project,COMPLETE,JMG49,JMG49,BD5939CE-0970-4DB4-98B7-BF77E8588207,,Exit Support,1,given,,,2.0
2d28ed6ebe9e9f10c5261d4d018bb0bff66d22cfbbc713298748257f26f93432,PSC_013,Welsh Digital Review,2021-10-11,2021-11-26,Client Project,COMPLETE,JMG15,JMG15,88B6B8E6-EF36-4337-80D6-8986EB36FAC7,,,1,given,,,2.0
cc81eb785f3598b6f5e5ca9282c2386a2ebcf209fb9cec1085987357cad1c0e9,DXT_002,Oakley - Dexters - Exit Extension Phase 2 (KM/PG),2026-01-26,2026-03-23,Client Project,COMPLETE,JMG149,JMD263,9C437241-FABB-43DD-995E-C704F6348A30,Data Engineering;BI and Reporting,Exit Support,1,given,2026-07-31,,1.0
2ab829dc7b0cd9403dba36dee93fc8c8a7bdc9b3cdd722f7e623b6c548ac78a7,CSD_001,Platform and Financial Reporting,2024-03-15,2024-06-28,Client Project,COMPLETE,JMG52,JMD20,A7055242-6D88-4386-A79A-740298F495CE,Data Science;Data Engineering,Exit Support,1,given,,,4.0
e7dd98ba08cb7e9d624575b4f0a2ae0910f1b45aced5ea682d9ee0a7eb4ea1c4,LLR_002,Cost Review,2019-08-05,2019-08-31,Client Project,COMPLETE,JML-005,JML-005,532DD2F7-BF82-450E-A552-DAF9E4CAB4FA,,,1,given,,,
e1ff1531386d779459bfe09ec9258bec29f308dde93e4a0720c01e4a39965dcc,JMG_186,Data Advisory - Solution,2024-01-01,2026-12-31,Internal Project,ACTIVE,JMG301,JMG87,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,,,1,given,,,
f4ec49bcefd1199984ae1d8b7f9af14b14e19538871164471f170992e4056895,CSD_006,FPF - Clearstead - Custodian Dashboard,2025-06-18,2025-07-02,Client Project,COMPLETE,JMG86,JMD84,A7055242-6D88-4386-A79A-740298F495CE,Data Engineering;BI and Reporting,Core Reporting,1,given,,,4.0
1cf9e31cd344cf4ddcdaa6c5780f5c98fa8f71168817b6ad0226a1439cf299d4,AND_002,Andwis - Data Platform Build Phase 1,2026-01-19,2026-06-19,Client Project,COMPLETE,JMG133,JMD77,7CE95475-03A9-4164-AF73-DE5D18D5FB39,Data Engineering;BI and Reporting,Core Reporting,1,given,,,3.0
596c23632119c82ac55bcbad95c63330228098f90affc95f0b6a85e9a4add3ad,JMG_210,Product - Sales Pipeline Tool,2024-07-29,2026-12-31,Internal Project,ACTIVE,JMD152,JMD376,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,,,1,given,2026-12-31,,
b1e9a850710a5f073a5147365b156e45f9fad7ba010bf35cccb2388ec1c211eb,TOT_003,Bowmark - TotalMobile - Secondment (Dashboard Updates & Value Additive Use-Cases) (CD/TB/PG),2023-08-07,2023-09-25,Client Project,COMPLETE,JMG87,JMG24,7198B121-659E-4EBA-B262-0359CE2986AB,,Core Reporting,1,given,,,1.0
4823ad9328de17cd8801bd30235a31f7f8f6939dc0252fd2e7745050fcd61826,AIR_002,August - Air IT - Governance coordination and data cleaning (PG/,2023-12-04,2024-06-12,Client Project,COMPLETE,JMG77,JMG77,2F995C34-5914-473B-A640-D7A460522B09,,Core Reporting,1,given,,,1.0
2fc38ce363b5bd9caed1bb83d5b67b7cdb7537b9b739be333655fa78a94e0b76,AGL_004,August Equity - Agilio - Managed Service (TB/NR),2023-09-20,2026-08-31,Managed Services,COMPLETE,JMG134,JMD221,9CDD31D9-6DA8-41AF-AF91-B0F3B5B05AD3,TechOps and Automation,Managed Services,1,given,2026-08-31,,1.0
e3abb15b9e9fd8287bc540c7a4c7dec7d86fce2d7ba9b23b345dcf81796ade8e,PSC_017,Vaccine Planning,2022-02-20,2022-05-31,Client Project,COMPLETE,JMG15,JMG15,88B6B8E6-EF36-4337-80D6-8986EB36FAC7,,,1,given,,,2.0
3c9ac0b6d9649884cfc19e5a52163af669fb0e6a863a7a6000e9793ec075953d,TSS_005,LLCP - TSS - Customer Master Data Cleanup,2025-05-10,2025-09-12,Client Project,COMPLETE,JMG114,JMD106,7C9941A6-875B-41EB-927F-F62312A06059,Data Engineering;BI and Reporting;Consulting,Core Reporting,1,given,,,4.0
af1f261acdc037cd6e48b3fd1ac5085149b87c7fb565ab2e55ce45e6dac832c1,JMG_206,Product - Lakester,2024-06-24,2026-12-31,Internal Project,COMPLETE,JMD172,JMD156,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,,,1,given,,,
4b4336a65f0e984e0b4b355eca1726c7249bf2373018dbc26416495a5597df56,FIR_012,Guna Int - Firetree - Q3 - Maintenance,2023-07-03,2023-09-29,Client Project,COMPLETE,JMD28,JMD28,A13DC602-1FC1-4D39-B2AF-D0F1E4D8767C,,Managed Services,1,given,,,2.0
3e3a019f1b3041845804f50f5946f21cef2fa5f16c008462be8f0f2c9fbb40ad,PSC_021,Sussex STP Finance Group Support,2018-10-22,2020-02-29,Client Project,COMPLETE,JMG42,JMG42,88B6B8E6-EF36-4337-80D6-8986EB36FAC7,,,1,given,,,2.0
7b8f464056ca1aa437b43336b33c7a492b1a7d27af74ccd234dddd840b393c48,EXM_001,Certificate Project,2021-06-15,2021-07-23,Client Project,COMPLETE,JMD160,JML56,37504803-47D3-4972-9A7F-8304791DD17F,,,1,given,,,
5bb9d84f07458eba9f540bd301ca10dfe88902f5fdfdf88946f01c74a314690e,AGG_004,AG Grid - Dashboard Refresh + Anonymisation & Obsidian Support,2025-09-08,2025-09-21,Client Project,COMPLETE,JMG225,JMD144,791B8459-E635-4911-A4CC-B52BC66461C4,BI and Reporting,Exit Support,1,given,,,2.0
ed559d796930ed6e5ec4be346189ef582259d9f1fc01febf501c3459df21a01f,BMF_003,Horizon - Boston MFO - Acquisition Data Integration CRB (CF/PG),2025-06-02,2025-06-20,Client Project,COMPLETE,JMG87,JMG134,536ACFE9-3147-48A9-A060-BD58E7F88981,BI and Reporting;Consulting,Core Reporting,1,given,,,4.0
510fe64276e8f32fa5ad6924f366e8ff51cead173b0f8332e771ef207ebbf854,PSC_024,PRT Tool Phase 1b,2019-02-04,2019-06-14,Client Project,COMPLETE,JML-015,JML-015,88B6B8E6-EF36-4337-80D6-8986EB36FAC7,,,1,given,,,2.0
8fbdbc6799475af71a524396cc4d88e58e38ecb5454c5b8360923193acdf326b,NTS_017,TA - Netsmart - Forms Development (LV/RR/HV),2024-07-01,2024-12-30,Managed Services,COMPLETE,JMD12,JMD22,11E011AC-D864-49EA-85CD-38A219CB55C6,,Managed Services,1,given,,,3.0
629cd8da2be810b327635453e6f69b27f4eb85350957e832fc135be1402bffb5,AMN_001,Cinven - Accumin - Group-wide Reporting - Phase 1,2025-05-26,2025-09-07,Client Project,COMPLETE,JMG79,JMD8,39A852E2-9E69-488B-A52F-A42968DF52CF,BI and Reporting,Core Reporting,1,given,,,2.0
cb5dfa1b13c5c1c89eb6edab18396339d1d8ef5b9db372e2ce7ffb3a77f4e2f9,MTC_001,Tenzing - MetaCompliance - Revenue and Pipeline Reporting (FH/LD),2024-07-12,2025-02-02,Client Project,COMPLETE,JMG124,JMD149,76573E93-FCB4-41CE-8301-A1DAE9458506,Analytical Engineering;Consulting,Exit Support,1,given,,,2.0
a7fa1293b6a558c51fafa47b585d046b90c1cd0c689e09c4514735313ef81cdf,CTA_003,Certania - Summit Partners - Data Platform Build -Phase 3 (FH/SS/YO),2025-12-01,2026-03-02,Client Project,COMPLETE,JMG367,JMD27,CAD81631-8120-4D06-BD19-7C88643927A5,BI and Reporting,Core Reporting,1,given,2026-03-06,,1.0
42b828be9ccbf70b2ba11392858c597e6d4c02a2a6dac4ba27d7892bc57d64d3,CIT_005,Customer-Centric Data Warehouse,2021-03-08,2022-12-31,Client Project,COMPLETE,JMD3,JMD84,766C0C98-E15A-4D17-ACD0-01447E03F822,,,1,given,,,1.0
b25fe9d7de6d742e930c00529f9b57a4bc888dfa326300e954f3451b1c0731a0,ALA_001,The Private Clinic,2019-03-26,2019-04-03,Client Project,COMPLETE,JMG15,JMG15,2F3480E2-BF0C-49D0-BE00-3D760C18A37D,,,1,given,,,
9e5824c0a42f7ec5492a8e7cd318b43e48798a20a3d0ca521e9ae4fd9d37a0c5,PMR_015,Permira - Investor Relations Data Wrangling (NM),2024-08-28,2024-09-04,Client Project,COMPLETE,JMG53,JMG53,5DE4495A-84E3-4D46-83C4-6CA90A048F32,Data Engineering,Data and Reporting,1,given,,,3.0
b384748ad5549512ad30d010db9e4b857b10aaa45d0b0d4f163f9f5c5d5a333a,GLS_003,"Levine Leichtman Capital Partners - GLAS - Dashboard Suite Roll Out, Platform Maintenance and M&A Integration (CD/MC/SS/SS)",2024-06-17,2024-09-06,Client Project,COMPLETE,JMG64,JMD19,16BA707B-C0A5-43B3-8F7F-4D0E13213915,Data Engineering;Data Governance;Analytical Engineering,Core Reporting,1,given,,,4.0
42fd4460806d53c2692753f78fcc298378b7e9abb30a5116bb209009bcdeb3db,WHS_002,WHS Magazine Range Optimisation,2019-10-21,2019-12-06,Client Project,COMPLETE,JML-005,,AF58F8A4-53D7-4FAF-92A9-7CD5201E1AAA,,,1,given,,,
2b97871f0aeb759ca6edb4d9eb17272cf6db6d79d42f3f7b8dadaf37b7c8949f,PSC_032,The PSC - Portal text updates (MS/YS),2023-05-02,2023-05-02,Client Project,COMPLETE,JMD42,JMD42,88B6B8E6-EF36-4337-80D6-8986EB36FAC7,,,1,given,,,2.0
f25e54a442630154baafa9173bf2aa479d598d60bd415010b159650bd9aab578,HBU_001,HIG - Confidential Portco - Exit ,2024-12-14,2025-02-24,Client Project,COMPLETE,JMG59,JMD77,50BF2268-960D-4ACB-8973-BFCCF9BEAC4A,Analytical Engineering,Exit Support,1,given,,,3.0
a7efb77620ea880b9d91be13202cbd71652a6a2071b35246a2f8a544855cbe52,WIT_016,ICG - With Intelligence - CRM & Product Data Audit (EF/OMC),2024-04-02,2024-04-26,Client Project,COMPLETE,JMG107,JMD116,BD5939CE-0970-4DB4-98B7-BF77E8588207,,Exit Support,1,given,,,2.0
bc5bd4996c36c0f554acb4308f7dc66527a5a7b2292a11cd147fb560a624cc79,CWT_001,Baird Capital - cleanwater1 - Exit Support - Design & Discovery,2025-06-02,2025-07-11,Client Project,COMPLETE,JMG81,JMD130,12F69E93-486D-4DB7-8018-FFBE3B7C8399,BI and Reporting,Core Reporting,1,given,,,2.0
693ff2a521278dff31ec46caa96d3bc989e701543c7999364588e2503fa15dfc,ROC_001,BGF - Roc Technologies - exit narratives & operational reporting. phase 1 (JT / MB / VK),2023-10-09,2023-10-20,Client Project,COMPLETE,JMG29,JMD5,76BBBAA9-36F0-4740-8EA0-93B5E1B687C7,,Exit Support,1,given,,,1.0
f4f8cc001145c906457cb6e54af2b8a63d02d7f73ebc222608238b6725e9d089,AHP_002,LDC - Ashtons - Managed Service,2026-05-04,2026-05-18,Client Project,COMPLETE,JMG217,JMD12,48891EA8-55FB-46DA-8F4C-9D81B45C4B96,Data Engineering;BI and Reporting;TechOps and Automation,Managed Service,1,given,2026-06-30,,1.0
c0ebdab5638ac998664ace51a2970ef9510589b8d7404a7583b7e74d87d16a6f,PMR_001,Diligence Churn Automation,2021-11-26,2022-01-28,Client Project,COMPLETE,JMG22,JMG22,5DE4495A-84E3-4D46-83C4-6CA90A048F32,,,1,given,,,3.0
