feature,spearman_vs_target,pearson_vs_target,kept_after_pruning
unbillable_fte_total_lag2,0.721,0.726,True
billable_fte_full_stack,0.711,0.701,False
new_hires_total_roll3_std,0.706,0.687,True
new_hires_total_roll6_mean,0.702,0.814,False
billable_hours,0.7,0.679,True
revenue_usd_unbillable,0.696,0.618,True
under_allocated_count_roll3_mean,0.696,0.717,True
completions_on_time_roll6_mean,0.689,0.84,False
total_logged_hours_roll6_std,0.686,0.618,True
extensions_billable_roll6_mean,-0.679,-0.744,False
billable_hours_roll6_std,0.679,0.562,False
unbillable_fte_total_roll3_std,0.675,0.665,True
billable_hours_lag1,0.675,0.597,True
total_logged_hours_lag1,0.668,0.651,True
free_pool_headcount_roll3_mean,0.665,0.714,False
total_logged_hours,0.664,0.634,True
under_allocated_count_roll3_std,0.65,0.647,False
billable_hours_lag2,0.636,0.523,False
avg_q5_workload_roll6_mean,-0.632,-0.555,True
under_allocated_count_lag3,0.63,0.64,False
completions_on_time_roll3_mean,0.629,0.702,True
over_allocated_count_roll6_mean,0.623,0.562,False
completions_total_roll3_mean,0.62,0.686,False
under_allocated_count_lag2,0.62,0.646,True
shadow_unbilled_count_roll6_std,0.607,0.578,True
net_hire_flow,0.605,0.487,True
new_hires_total,0.599,0.525,False
promotions_total_roll6_mean,0.587,0.687,True
ebitda_usd_total_lag1,0.586,0.571,True
ebitda_usd_total,0.586,0.599,True
billable_hours_lag3,0.582,0.488,False
revenue_usd_total_roll3_mean,0.582,0.538,False
total_logged_hours_lag6,0.582,0.632,True
ebitda_usd_total_lag2,0.582,0.56,True
avg_q1_motivation_roll6_std,0.581,0.432,True
new_projects_total_lag2,-0.576,-0.666,True
escalations_total,0.574,0.503,True
billable_fte_total_roll3_std,0.568,0.342,True
completion_on_time_rate,0.564,0.399,True
total_logged_hours_lag2,0.561,0.527,True
new_hires_total_lag3,0.56,0.577,True
ebitda_margin_pct_roll3_std,-0.546,-0.605,True
notice_cohort_avg_pulse_during,-0.541,-0.627,True
new_projects_total_roll3_mean,-0.536,-0.68,False
billable_fte_total_lag6,0.532,0.589,True
total_logged_hours_lag3,0.532,0.461,True
free_pool_headcount_lag1,0.531,0.576,True
revenue_usd_total_lag6,0.529,0.714,False
shadow_unbilled_count_lag3,0.526,0.543,True
completions_on_time_lag1,0.526,0.519,True
free_pool_headcount_roll6_mean,0.525,0.567,True
ratio_extensions_billable_to_unbillable,-0.521,-0.559,True
revenue_usd_billable_lag6,0.521,0.689,False
revenue_usd_data_advisory,0.504,0.44,True
revenue_usd_ai_ml,0.496,0.498,True
new_hires_total_lag2,0.491,0.551,False
completions_total_lag2,0.478,0.427,True
extensions_billable_roll3_mean,-0.466,-0.597,False
new_hires_total_lag1,0.465,0.513,True
extensions_billable,-0.458,-0.497,True
ebitda_usd_total_lag3,0.454,0.502,True
billable_hours_lag6,0.454,0.448,True
revenue_usd_data_engineering,0.446,0.492,False
over_allocated_count_lag6,0.441,0.552,True
completions_on_time_lag2,0.44,0.498,True
new_projects_full_stack,0.433,0.319,True
completions_on_time,0.433,0.355,False
extensions_billable_lag3,-0.432,-0.391,True
under_allocated_count_roll6_std,0.425,0.385,False
under_allocated_count,0.424,0.493,True
resignations_total_roll6_mean,0.422,0.409,False
resignations_total,0.42,0.188,True
revenue_usd_value_creation,0.418,0.489,False
revenue_usd_core_reporting,0.418,0.464,False
shadow_unbilled_hours,0.411,0.566,True
avg_q1_motivation_roll6_mean,-0.41,-0.314,False
under_allocated_count_lag1,0.41,0.524,False
revenue_usd_billable_roll3_mean,0.404,0.461,True
free_pool_headcount_lag3,0.403,0.317,True
employee_location_usa_pct,-0.401,-0.286,True
resignations_total_lag1,0.4,0.022,True
over_allocated_count_roll3_std,0.4,0.239,True
revenue_usd_due_diligence,0.4,0.449,True
completions_total_lag3,0.392,0.379,True
new_phases_started,-0.386,-0.489,True
notice_period_headcount_roll6_std,0.384,0.557,True
revenue_usd_total,0.382,0.477,False
revenue_usd_total_lag1,0.382,0.439,False
completions_total_lag1,0.381,0.389,False
new_projects_total_roll6_std,-0.377,-0.578,True
avg_q1_motivation_lag6,-0.376,-0.563,True
revenue_usd_managed_services,0.375,0.507,False
month_cos,0.373,0.568,True
ratio_hires_to_resignations,0.373,0.444,True
new_projects_total_lag1,-0.369,-0.528,True
notice_cohort_size,0.368,0.115,True
avg_q5_workload_lag6,-0.366,-0.421,True
new_projects_core_reporting,-0.361,-0.433,False
promotions_total_lag3,0.361,0.107,True
avg_q5_workload_roll3_mean,-0.356,-0.334,True
completions_on_time_lag3,0.354,0.421,True
completions_total_roll3_std,-0.349,-0.137,True
notice_period_headcount_lag6,-0.345,-0.026,True
resignations_total_roll3_mean,0.339,0.147,True
revenue_usd_total_lag2,0.336,0.391,False
revenue_usd_bi_reporting,0.336,0.482,True
revenue_usd_billable,0.329,0.404,False
revenue_usd_billable_lag1,0.329,0.349,False
extensions_unbillable_roll3_std,-0.327,-0.425,True
extensions_unbillable_roll3_mean,0.323,0.427,False
pct_employees_overall_le_2,0.318,0.289,True
is_low_season,0.318,0.364,True
new_projects_data_engineering,-0.316,-0.454,False
interact_low_season_free_pool,0.314,0.364,False
revenue_usd_exit_support,0.311,0.431,True
promotions_total_lag2,0.304,0.083,True
promotions_total_roll6_std,-0.301,-0.385,True
free_pool_headcount_lag2,0.289,0.328,True
response_rate_pct,-0.282,-0.223,True
revenue_usd_billable_lag2,0.282,0.302,False
revenue_usd_full_stack,0.282,0.389,False
extensions_billable_lag1,-0.279,-0.426,False
ebitda_usd_total_roll3_std,0.279,0.353,True
unbillable_fte_total_lag6,0.279,0.281,True
new_projects_total,-0.277,-0.42,True
extensions_billable_roll6_std,0.276,0.098,False
extensions_unbillable_lag6,-0.272,-0.352,True
extensions_unbillable,0.272,0.404,True
employee_location_chennai_pct,-0.272,-0.123,True
over_allocated_count_roll3_mean,0.271,0.324,False
revenue_usd_billable_roll3_std,0.268,0.389,True
completions_on_time_roll6_std,0.266,0.603,True
completions_total,0.251,0.245,True
resignations_total_roll3_std,-0.241,-0.014,False
promotions_total_roll3_std,-0.241,-0.086,False
under_allocated_count_lag6,0.239,0.237,True
revenue_usd_techops,0.236,0.356,True
extensions_billable_roll3_std,0.236,0.508,True
shadow_unbilled_count_roll3_std,0.233,0.066,True
revenue_usd_total_roll3_std,0.229,0.336,False
avg_q5_workload_lag1,-0.229,-0.264,True
new_projects_bi_reporting,-0.22,-0.307,False
avg_q1_motivation_roll3_mean,-0.218,-0.103,True
avg_q5_workload,-0.211,-0.219,True
avg_q1_motivation,-0.208,-0.074,True
ebitda_usd_total_roll6_std,0.204,0.16,True
extensions_billable_lag2,-0.201,-0.295,True
ratio_billable_to_unbillable_fte,-0.2,-0.29,True
promotions_total_lag6,0.197,0.167,True
over_allocated_count_lag1,0.197,0.27,True
new_projects_data_advisory,-0.196,-0.214,True
over_allocated_count,0.193,0.264,False
notice_period_headcount_lag3,-0.19,-0.028,True
over_allocated_count_roll6_std,0.189,0.205,False
new_projects_exit_support,-0.189,-0.324,False
revenue_usd_total_roll6_std,0.186,0.117,False
extensions_unbillable_lag1,0.182,0.247,True
revenue_usd_billable_roll6_std,0.179,0.234,False
interact_over_allocated_workload,0.179,0.226,False
shadow_unbilled_count_lag6,0.177,0.05,True
avg_q1_motivation_lag1,-0.172,-0.078,False
over_allocated_count_lag2,0.172,0.198,True
avg_q1_motivation_lag2,-0.165,-0.067,True
notice_period_headcount_lag2,-0.162,-0.036,True
avg_q5_workload_lag2,-0.161,-0.133,True
promotions_total_roll3_mean,0.15,0.127,True
resignations_total_lag2,0.15,-0.018,True
notice_cohort_pulse_delta,0.146,0.107,True
avg_q1_motivation_lag3,-0.143,-0.113,True
billable_hours_roll3_std,0.139,0.124,True
new_hires_total_lag6,0.138,0.098,True
resignations_total_lag6,-0.13,0.078,True
ratio_over_to_under_allocated,-0.125,-0.018,False
new_projects_managed_services,-0.124,-0.207,True
new_projects_total_roll3_std,-0.121,-0.11,True
new_projects_value_creation,-0.116,-0.203,True
new_projects_ai_ml,-0.116,-0.193,True
extensions_unbillable_roll6_std,-0.115,-0.07,True
extensions_unbillable_roll6_mean,0.115,0.054,False
avg_q5_workload_roll6_std,-0.107,-0.123,True
avg_q1_motivation_roll3_std,-0.104,0.143,True
uk_public_holidays,0.102,0.012,True
avg_q5_workload_lag3,-0.102,-0.042,True
notice_period_headcount_roll3_mean,0.099,0.11,False
interact_peak_season_new_projects,-0.094,-0.075,True
extensions_unbillable_lag2,0.091,0.117,True
notice_period_headcount_lag1,0.088,0.055,True
free_pool_headcount_roll3_std,0.086,0.112,True
completions_on_time_roll3_std,-0.081,0.145,False
extensions_billable_lag6,-0.078,0.112,True
free_pool_headcount_roll6_std,-0.075,-0.141,True
interact_notice_headcount_pulse_delta,-0.075,-0.083,True
over_allocated_count_lag3,0.072,0.13,True
is_peak_season,-0.07,-0.058,False
notice_period_headcount_roll6_mean,-0.068,0.077,True
employee_location_uk_pct,-0.068,-0.002,True
promotions_total,0.067,0.098,True
free_pool_headcount_lag6,-0.067,-0.376,True
free_pool_avg_days,-0.061,0.048,True
revenue_usd_billable_lag3,-0.054,0.051,True
new_projects_total_lag6,-0.047,-0.165,True
resignations_total_roll6_std,-0.042,0.176,False
revenue_usd_total_lag3,-0.039,0.164,False
utilization_rate,0.039,0.079,True
total_logged_hours_roll3_std,0.039,-0.025,True
promotions_total_lag1,-0.038,-0.02,True
new_hires_chennai,0.038,0.363,True
resignations_total_lag3,0.035,-0.007,True
completions_on_time_lag6,0.033,0.127,True
notice_period_headcount,0.023,0.148,False
completions_total_lag6,0.021,0.056,True
notice_cohort_avg_months_in,-0.02,0.011,True
month_sin,-0.007,-0.105,False
avg_q5_workload_roll3_std,0.007,-0.013,True
completions_total_roll6_std,0.004,0.011,True
extensions_unbillable_lag3,0.0,-0.099,True
notice_period_headcount_roll3_std,0.0,0.07,False
is_quarter_end,0.0,0.005,True
