month,revenue_usd_total,revenue_usd_data_engineering,revenue_usd_bi_reporting,revenue_usd_ai_ml,revenue_usd_full_stack,revenue_usd_techops,revenue_usd_core_reporting,revenue_usd_exit_support,revenue_usd_managed_services,revenue_usd_value_creation,revenue_usd_data_advisory,revenue_usd_due_diligence,revenue_usd_billable,ebitda_usd_total,ebitda_margin_pct,revenue_usd_unbillable,new_projects_total,new_projects_data_engineering,new_projects_bi_reporting,new_projects_ai_ml,new_projects_full_stack,new_projects_techops,new_projects_core_reporting,new_projects_exit_support,new_projects_managed_services,new_projects_value_creation,new_projects_data_advisory,new_projects_due_diligence,extensions_billable,extensions_unbillable,completions_total,completions_on_time,new_phases_started,escalations_total,client_location_chennai_pct,client_location_uk_pct,client_location_usa_pct,client_location_other_pct,new_hires_total,new_hires_chennai,new_hires_uk,new_hires_usa,new_hires_by_role_json,resignations_total,resignations_by_role_json,notice_period_headcount,promotions_total,free_pool_headcount,free_pool_avg_days,over_allocated_count,under_allocated_count,shadow_unbilled_count,shadow_unbilled_hours,employee_location_chennai_pct,employee_location_uk_pct,employee_location_usa_pct,billable_fte_total,billable_fte_data_engineering,billable_fte_bi_reporting,billable_fte_ai_ml,billable_fte_full_stack,billable_fte_techops,unbillable_fte_total,total_logged_hours,billable_hours,uk_public_holidays,is_low_season,is_peak_season,is_month_end,is_quarter_end,total_active_headcount
2025-06-01,2533511.14,833179.2,725430.3,358586.06,343601.37,272714.22,1123095.28,412111.3,370342.51,357329.19,181998.84,88634.02,2269352.8,715670.27,28.25,264158.34,11,4,3,2,1,1,5,2,1,1,1,0,5,2,6,4,7,5,55.00000000000001,25.0,10.0,10.0,13,9,3,1,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 4, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 0}",7,"{""Trainee Software Engineer"": 1, ""Senior Software Engineer"": 0, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",18,5,17,15.4,37,58,39,771.9,72.8,23.4,5.2,353.1,123.3,113.4,44.6,37.3,34.5,44.6,49188.0,46439.0,0,0,0,1,1,624
2025-07-01,2388286.3,813451.55,693094.79,321519.03,291909.93,268311.0,1111350.06,352260.55,318297.98,349568.9,177355.67,79453.14,2039315.82,673996.44,28.22,348970.48,8,3,2,1,1,1,3,1,1,1,0,0,4,1,7,5,6,3,55.00000000000001,25.0,10.0,10.0,12,8,3,1,"{""Trainee Software Engineer"": 4, ""Senior Software Engineer"": 2, ""Software Engineer"": 2, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 1}",7,"{""Trainee Software Engineer"": 1, ""Senior Software Engineer"": 2, ""Software Engineer"": 0, ""Solutions Enabler"": 0, ""Associate Consultant"": 3, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",18,5,20,22.3,32,60,52,1147.2,72.3,23.0,5.1,400.0,133.8,117.8,51.6,52.8,43.9,49.9,72321.0,49973.0,0,0,0,1,0,629
2025-08-01,2341265.13,802351.76,625360.49,361783.78,296266.05,255503.06,1068709.77,378898.57,334089.18,337900.9,148325.05,73341.65,2005069.53,669510.24,28.6,336195.6,8,3,2,1,1,1,4,1,1,1,0,0,4,2,7,6,6,5,55.00000000000001,25.0,10.0,10.0,14,10,3,1,"{""Trainee Software Engineer"": 4, ""Senior Software Engineer"": 4, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 1}",7,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 1, ""Software Engineer"": 1, ""Solutions Enabler"": 0, ""Associate Consultant"": 0, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 2, ""Manager"": 0}",21,5,23,23.7,42,69,55,1127.2,71.4,21.9,5.0,396.1,121.7,121.9,61.0,50.6,40.9,60.4,63089.0,50147.0,1,0,0,1,0,636
2025-09-01,2564380.54,959780.02,703774.45,334357.33,301637.27,264831.47,1195750.92,388397.03,395787.21,340490.73,160410.74,83543.92,2045509.99,732339.81,28.56,518870.55,9,3,3,1,1,1,4,1,1,1,1,0,5,2,9,8,6,5,55.00000000000001,25.0,10.0,10.0,20,7,10,3,"{""Trainee Software Engineer"": 9, ""Senior Software Engineer"": 3, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 2, ""Solutions Consultant"": 2, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 1}",8,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 0}",18,6,24,18.3,35,60,45,1213.7,72.2,23.6,5.5,389.6,131.1,120.0,48.1,50.1,40.4,64.3,67905.0,51825.0,0,0,0,1,1,648
2025-10-01,2730851.04,948754.16,834263.11,381750.57,317255.9,248827.3,1204960.56,403763.41,460659.38,393476.67,184960.14,83030.89,2402665.98,791885.77,29.0,328185.06,8,3,2,1,1,1,4,1,1,1,1,0,4,2,6,4,6,5,55.00000000000001,25.0,10.0,10.0,27,9,14,4,"{""Trainee Software Engineer"": 7, ""Senior Software Engineer"": 5, ""Software Engineer"": 4, ""Solutions Enabler"": 5, ""Associate Consultant"": 0, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 3}",16,"{""Trainee Software Engineer"": 5, ""Senior Software Engineer"": 4, ""Software Engineer"": 2, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",50,12,22,21.2,36,54,51,1172.2,72.8,22.5,4.9,377.3,135.3,105.5,54.4,42.7,39.4,73.2,63595.0,54166.0,0,0,0,1,0,659
2025-11-01,2639649.98,889624.73,753928.47,370164.46,346529.86,279402.47,1250356.52,386344.65,389259.64,391354.03,150000.05,72335.1,2279687.8,783361.71,29.68,359962.18,7,2,2,1,1,1,3,1,1,1,0,0,4,2,8,6,5,4,55.00000000000001,25.0,10.0,10.0,75,65,8,2,"{""Trainee Software Engineer"": 13, ""Senior Software Engineer"": 14, ""Software Engineer"": 17, ""Solutions Enabler"": 14, ""Associate Consultant"": 5, ""Solutions Consultant"": 6, ""Senior Associate Consultant"": 2, ""Consultant"": 1, ""Senior Consultant"": 2, ""Manager"": 1}",8,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 1, ""Software Engineer"": 0, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 2, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",26,5,24,21.6,28,70,51,1091.9,72.2,24.3,5.4,458.8,157.6,128.2,63.5,62.2,47.4,86.0,66049.0,57395.0,0,0,0,1,0,726
2025-12-01,1972377.25,682871.72,579309.04,273754.19,234552.4,201889.9,896540.79,315447.56,278260.66,297601.76,118873.88,65652.59,1551643.7,584112.75,29.61,420733.55,7,2,2,1,1,1,3,1,1,1,0,0,3,2,7,5,5,3,55.00000000000001,25.0,10.0,10.0,62,54,6,2,"{""Trainee Software Engineer"": 11, ""Senior Software Engineer"": 12, ""Software Engineer"": 5, ""Solutions Enabler"": 7, ""Associate Consultant"": 7, ""Solutions Consultant"": 16, ""Senior Associate Consultant"": 2, ""Consultant"": 1, ""Senior Consultant"": 1, ""Manager"": 1}",7,"{""Trainee Software Engineer"": 1, ""Senior Software Engineer"": 1, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 1}",20,5,34,24.4,25,92,56,1396.9,72.6,22.8,4.7,448.1,142.0,138.1,60.7,58.1,49.1,77.4,67191.0,57253.0,2,1,0,1,1,781
2026-01-01,2347096.36,786157.4,713331.62,308192.65,300480.08,238934.61,1020004.96,378300.65,356862.9,352198.71,161175.37,78553.77,1914888.55,705941.71,30.08,432207.81,7,2,2,1,1,1,3,1,1,1,0,0,3,2,7,5,4,5,55.00000000000001,25.0,10.0,10.0,50,40,8,2,"{""Trainee Software Engineer"": 18, ""Senior Software Engineer"": 10, ""Software Engineer"": 13, ""Solutions Enabler"": 3, ""Associate Consultant"": 1, ""Solutions Consultant"": 2, ""Senior Associate Consultant"": 1, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 0}",8,"{""Trainee Software Engineer"": 1, ""Senior Software Engineer"": 1, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 2, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",17,6,33,20.8,35,89,65,1130.2,72.4,22.4,4.9,501.6,164.7,145.0,76.7,66.7,48.5,70.0,92240.0,63481.0,1,1,0,1,0,823
2026-02-01,3602934.01,1233754.64,1141314.17,444410.19,429699.06,353755.95,1648054.33,552504.06,564639.36,489137.93,232596.07,116002.27,3148645.52,1080627.41,29.99,454288.49,9,3,3,1,1,1,4,1,2,1,1,0,5,2,7,5,7,5,55.00000000000001,25.0,10.0,10.0,14,5,7,2,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 2, ""Software Engineer"": 4, ""Solutions Enabler"": 1, ""Associate Consultant"": 0, ""Solutions Consultant"": 2, ""Senior Associate Consultant"": 1, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 0}",8,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 1, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",21,5,22,13.4,49,73,62,1085.8,71.9,23.8,4.9,537.6,187.7,159.4,69.7,61.9,58.8,57.2,90405.0,73829.0,0,0,1,1,0,830
2026-03-01,3722166.36,1139677.07,1112388.01,562584.13,488467.42,419049.72,1689509.07,568833.7,560242.82,576487.99,219030.6,108062.18,3236699.11,1109884.48,29.82,485467.25,11,4,3,1,1,1,5,2,2,1,1,0,5,2,7,5,8,7,55.00000000000001,25.0,10.0,10.0,14,5,7,2,"{""Trainee Software Engineer"": 4, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 0, ""Associate Consultant"": 4, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 1, ""Manager"": 1}",8,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 0}",27,4,29,16.6,62,44,71,1671.9,70.8,23.3,4.8,578.6,188.7,184.8,77.0,70.9,57.2,74.4,94427.0,86131.0,0,0,1,1,1,836
2026-04-01,3837906.72,1304508.15,1156774.69,495383.23,496474.14,384766.51,1769199.92,579403.52,571539.15,545738.92,246015.72,126009.5,3282311.63,1159853.12,30.22,555595.09,11,4,3,2,2,1,5,2,2,2,1,0,4,2,7,5,7,6,55.00000000000001,25.0,10.0,10.0,27,10,14,3,"{""Trainee Software Engineer"": 9, ""Senior Software Engineer"": 4, ""Software Engineer"": 3, ""Solutions Enabler"": 6, ""Associate Consultant"": 0, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 3, ""Manager"": 1}",16,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 3, ""Software Engineer"": 1, ""Solutions Enabler"": 4, ""Associate Consultant"": 0, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 3, ""Manager"": 0}",40,10,26,18.1,52,56,61,1350.4,72.0,23.0,4.9,528.9,181.2,156.8,75.5,62.8,52.6,68.3,77410.0,76101.0,2,0,0,1,0,847
2026-05-01,4120105.23,1385403.67,1230837.34,539953.03,517861.2,446049.98,1884128.92,597362.61,659939.21,610306.15,248049.66,120318.68,3555219.65,1228010.73,29.81,564885.58,8,3,3,1,1,1,4,1,1,1,0,0,6,2,8,6,8,5,55.00000000000001,25.0,10.0,10.0,17,6,9,2,"{""Trainee Software Engineer"": 4, ""Senior Software Engineer"": 6, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 0, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 1, ""Senior Consultant"": 1, ""Manager"": 1}",8,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 2, ""Software Engineer"": 2, ""Solutions Enabler"": 0, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",23,4,27,14.5,62,56,69,1552.6,72.4,22.2,4.8,511.7,165.7,156.3,75.5,62.2,51.9,71.6,89462.0,77289.0,2,0,0,1,0,856
2026-06-01,3948488.41,1351270.6,1244435.54,480272.09,494812.41,377697.77,1868511.21,609795.94,550602.29,560499.9,244990.19,114088.88,3365852.14,1179112.71,29.86,582636.27,8,3,2,1,1,1,4,1,1,1,0,0,4,2,7,4,6,5,55.00000000000001,25.0,10.0,10.0,14,5,7,2,"{""Trainee Software Engineer"": 5, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 3, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",8,"{""Trainee Software Engineer"": 1, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",21,5,26,18.1,52,67,65,1246.8,72.3,22.7,4.5,536.8,186.5,157.8,78.6,59.4,54.4,71.7,74037.0,73612.0,0,0,0,1,1,862
